PMID,标题,摘要,关键词,主题词,期刊,年份
41881785,[Chinese expert consensus on endovascular treatment of ischemic lesions in the diabetic foot].,"Ischemic diabetic foot is one of the severe chronic complications of diabetes mellitus. Without standardized treatment, it may progressively lead to ulceration, gangrene, and subsequent amputation, and may even result in patient mortality. Patients with ischemic diabetic foot often present with complex lower extremity vascular pathologies, such as diffuse calcification and occlusion of below-the-knee small arteries. In clinical practice, there is significant variability among diagnostic and treatment centers in the selection of therapeutic strategies and technical procedures. To standardize the clinical practice of ischemic diabetic foot in China and improve the level of diagnosis and treatment, the Peripheral Vascular Medicine Branch of the China International Exchange and Promotive Association for Medical and Healthcare, together with the Clinical Diagnosis, Treatment and Research Center for Lower Extremity Arteriosclerosis Obliterans of Capital Medical University, has organized relevant domestic experts to develop this consensus. Based on the latest evidence-based medical research and clinical experience, this consensus aims to provide standardized practical guidance for relevant clinicians.",,,Zhonghua wai ke za zhi [Chinese journal of surgery],2026
41881587,[Research advances on the targeted programmed cell death regulatory network for treatment of refractory diabetic wounds].,"Refractory diabetic wounds are severe complications of diabetes mellitus, for which conventional treatments yield limited efficacy. Recent studies have demonstrated that the core pathogenesis lies in the dysregulation of the programmed cell death regulatory network induced by the hyperglycemic microenvironment. Specifically, excessive activation of lytic cell death such as necroptosis, ferroptosis, and pyroptosis drives persistent inflammation; while impairment of non-lytic cell death including apoptosis and cytoprotective autophagy as well as efferocytosis dysfunction results in impaired initiation of the inflammation resolution program. Distinct cell death pathways form a dynamic network through shared regulatory hubs and downstream signaling crosstalk, ultimately locking the wound in a vicious cycle of ""cell death-inflammation-repair impairment"". This review systematically elaborates on the dysregulation characteristics and interaction mechanisms of the programmed cell death regulatory network in diabetic wounds, and discusses the application prospects of combination therapies and precision stratified treatment.",,,Zhonghua shao shang yu chuang mian xiu fu za zhi,2026
41881579,[Epidemiological characteristics of adult inpatients with diabetes-related chronic non-healing wounds in Hainan province].,"<b>Objective:</b> To analyze the epidemiological characteristics of adult inpatients with diabetes-related chronic non-healing wounds in Hainan province. <b>Methods:</b> This study was a retrospective cohort study. From July 2019 to July 2024, 1 372 adult inpatients with diabetes-related chronic non-healing wounds and conformed to the inclusion criteria were admitted to three hospitals in Hainan province, including 951 cases in the First Affiliated Hospital of Hainan Medical University, 287 cases in the Second Affiliated Hospital of Hainan Medical University, and 134 cases in Hainan Sino-German Orthopedic Hospital. The clinical data of patients were collected, including age, gender, occupation, disease duration and type of diabetes mellitus, underlying comorbidity, formation cause, type, location, and number of wounds, pathogenic microorganism culture result of wound secretion specimens on admission, treatment modality and outcome at discharge, and hospitalization duration and hospitalization costs of patients with different types of wounds. <b>Results:</b> The patients were 18-96 years in age, with 892 patients aged ≥60 years. There were 889 males and 483 females, with 838 agricultural workers. The duration of diabetes mellitus was 10 (5,18) years, and 98.91% (1 357/1 372) of the patients had type 2 diabetes mellitus. Patients with diabetes mellitus were often combined with hypertension (678 cases), arterial disease (300 cases), and stroke (220 cases). The primary cause of wound formation was infection (930 cases). The predominant type of wounds was diabetic foot ulcer (809 cases), followed by other wounds (232 cases), pressure ulcers (187 cases), and traumatic ulcers (144 cases). The wounds were primarily located on feet (809 wounds) and lower legs (474 wounds) with single wound (997 cases). The pathogenic microorganism culture results of wound secretion specimens from 540 patients were positive, with a total of 606 strains of pathogenic microorganism detected, predominantly Gram-negative bacteria (324 strains). The main pathogenic microorganisms were <i>Staphylococcus aureus</i> (125 strains), <i>Pseudomonas aeruginosa</i> (71 strains), and <i>Escherichia coli</i> (71 strains). Fungal detection rate was high of 6.11% (37/606). The primarily wound treatment modalities included simple debridement (396 cases) and debridement combined with vacuum sealing drainage (444 cases). At discharge, the wounds in 84.62% (1 161/1 372) of the patients showed improvement, 11.30% (155/1 372) of the patients achieved wound healing, and 3.28% (45/1 372) of the patients experienced wound exacerbation; the other 0.80% (11/1 372) of the patients died. Patients with diabetic foot ulcer exhibited significantly longer hospitalization duration (18 (10, 29) d) and higher hospitalization costs (3.9 (2.1, 6.0) ten thousand yuan) compared with patients with pressure ulcer (14 (7, 21) d and 2.8 (1.5, 4.2) ten thousand yuan), traumatic ulcer (12 (6, 18) d and 2.3 (1.2, 3.5) ten thousand yuan), and other wounds (16 (8, 25) d and 3.1 (1.8, 5.0) ten thousand yuan), <i>P</i><0.05. <b>Conclusions:</b> The adult inpatients with diabetes-related chronic non-healing wounds in Hainan province are predominantly elderly male agricultural workers with underlying comorbidities. The detected predominant pathogenic microorganisms in wounds are Gram-negative bacteria, and fungal detection rate is high. Diabetic foot ulcer poses greater treatment burden, and patients with diabetic foot ulcers had significantly longer hospitalization duration and higher hospitalization costs compared with those of other wounds.",,,Zhonghua shao shang yu chuang mian xiu fu za zhi,2026
41881268,Association of Dietary Inflammatory Index (DII) with cardiovascular and all-cause mortality in patients with Cardiovascular-Kidney-Metabolic (CKM) syndrome: a prospective cohort study.,,Cardiovascular disease; Cardiovascular-kidney-metabolic syndrome; Insulin resistance; Metabolic dysfunction; TyG index,,Experimental gerontology,2026
41881251,Ginsenoside Rb1 attenuates diabetic peripheral neuropathy pathology by functioning as a potent activator of isocitrate dehydrogenase 1.,,Diabetic peripheral neuropathy; Ginsenoside Rb1; Isocitrate dehydrogenase 1; Mitochondrial biogenesis; Neuroinflammation; Ribosomal dysfunction,,Journal of advanced research,2026
41880283,A hemorheological perspective on coronary microvascular dysfunction: Association of erythrocyte parameters with angiography-derived coronary microcirculatory resistance.,,,,PloS one,2026
41880104,Qinggan Mingshi Granules Inhibited Ferroptosis to Treat Diabetic Retinopathy in Mice Through NRF2/GPX4 Axis.,,NRF2/GPX4 axis; Qinggan Mingshi granules; diabetic retinopathy; ferroptosis; lipid peroxidation,,Journal of diabetes research,2026
41879932,"Effect of Nordic Walking on Anthropometrics, Glycemia, and Lipid Profile in Adults With Prediabetes or Diabetes: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.",,HbA1c; blood pressure; body weight; cholesterol; hyperglycemia; pole walking,,Journal of diabetes research,2026
41879791,Oral Semaglutide and Change in Cardiovascular Risk Factors in High-Risk Type 2 Diabetes: A Post Hoc Secondary Analysis of the SOUL Randomized Clinical Trial.,,,,JAMA cardiology,2026
41879449,Mechanisms and Research Progress of SGLT-2 Inhibitors in Diabetes Mellitus-Related Cognitive Impairment.,"Diabetes Mellitus (DM) increases the risk of Mild Cognitive Impairment (MCI) and dementia, severely impacting patients' quality of life and long-term future prospects. Sodium-glucose cotransporter 2 inhibitors (SGLT-2i), a class of oral hypoglycemic drugs, have recently been shown to have neuroprotective effects. Studies show that SGLT-2i ameliorates cognitive dysfunction in diabetic animal models through various mechanisms such as insulin pathways in the brain, cerebrovascular function, neuroinflammation and oxidative stress, inhibition of Alzheimer's disease pathology, andneurotrophic factor expression. Clinical studies also show that SGLT-2i improves cognitive performance in diabetic patients, significantly reducing the risk of dementia and MCI. Further studies and more robust clinical evidence are needed for its clinical application. Despite the promising role of SGLT-2i in preventing and treating DM-related cognitive impairment, further studies and more robust clinical evidence are needed for its clinical application.",Alzheimer’s disease.; Sodium-glucose cotransporter 2 inhibitors; dementia; diabetes mellitus; diabetes mellitus-related cognitive impairment; mild cognitive impairment,,Current diabetes reviews,2026
