标题,摘要,关键词,主题词,文献类型,出版日期,DOI,全文链接,PMID
[Rethinking cancer].,"Over the past half-century of the global effort against cancer, the vast majority of investigations in both tumor basic research and clinical practice have centered on the ""somatic mutation"" theory, such as in molecular classification, individualized precision medicine strategies, gene therapy approaches, the development of neoantigen-based tumor vaccines, and advancements in sequencing technologies. Even in the extensively studied tumor microenvironment (including tumor immunity), which has garnered significant attention in recent years, the underlying mechanisms frequently revert to specific genes and mutations within tumor cells or microenvironmental cells as the primary driving forces. However, despite the dominance of the ""somatic mutation"" paradigm, truly effective approaches for curing cancer in clinical settings remain elusive. Undoubtedly, if the prevailing ""somatic mutation theory"" continues to monopolize cancer research, meaningful progress in understanding and treating cancer will likely remain frustratingly out of reach. At this critical juncture in the evolution of cancer research, a comprehensive re-evaluation of cancer not only is necessary but also imperative, highlighting the urgent need for a profound transformation in our conceptual framework. This article systematically elucidates the novel perspective offered by the ""tumor system"" for comprehending the essence of cancer, the foundational principles of ""tumor ecology"" and their potential applications in treatment, and explores in depth the theoretical framework and research significance of the emerging field of ""ecological pathology"". Beyond merely advocating for the abandonment of the currently dominant linear reductionist paradigm of cancer, this commentary strives to construct a pragmatic and systematically structured framework to guide the trajectory of the ""post-genomic revolution in oncology"" and the ""tumor ecological philosophy"", ultimately fostering the realization of the overarching societal goal of eradicating cancer.",,,Journal Article; Review; English Abstract,2025-Jun-23,10.3760/cma.j.cn112152-20250401-00145,https://doi.org/10.3760/cma.j.cn112152-20250401-00145,40443342
[Not Available].,,,,Journal Article,2024-Aug-28,10.11817/j.issn.1672-7347.2024.240002,https://doi.org/10.11817/j.issn.1672-7347.2024.240002; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11628235,39788526
"Multidisciplinary integration and fusion based on critical care medicine and immunology: History, current status, and prospects.","Critical care medicine focuses on understanding the pathophysiological mechanisms and treatment approaches for life-threatening conditions, including sepsis, severe trauma/burns, hemorrhagic shock, heatstroke, and acute pancreatitis, all of which have high incidence rates. These conditions are primarily characterized by acute multi-organ dysfunction, with sudden onset, severe illness, and high mortality rates. Additionally, critical care treatment demands substantial medical resources, imposing significant economic burdens on patients' families and society. In recent years, critical care medicine has achieved notable progress, especially in multidisciplinary integration with immunology-based fields. Collaboration across disciplines has not only accelerated advancements in critical care but also propelled the rapid development of modern immunology. This paper provides an overview and assessment of the cross-disciplinary fusion between critical care medicine and immunology, exploring how these fields related extensions mutually enhance each other. It further analyzes China's potential to become a global leader in this area within the next 5 to 10 years.",critical care medicine; cross-disciplinary integration; immunology; intensive care; multidisciplinary; sepsis,,Journal Article; Review,2024-Aug-28,10.11817/j.issn.1672-7347.2024.240220,https://doi.org/10.11817/j.issn.1672-7347.2024.240220; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11628226,39788521
[Big data analysis and evidence-based medicine: controversy or cooperation].,"The development of evidence-based medicince should be an important milestone from the empirical medicine to the evidence-driving modern medicine. With the outbreak in biomedical data, the rising big data analysis can efficiently solve exploratory questions or decision-making issues in biomedicine and healthcare activities. The current problem in China is that big data analysis is still not well conducted and applied to deal with problems such as clinical decision-making, public health policy, and should not be a debate whether big data analysis can replace evidence-based medicine or not. Therefore, we should clearly understand, no matter whether evidence-based medicine or big data analysis, the most critical infrastructure must be the substantial work in the design, constructure and collection of original database in China.",,,Editorial,2016-Jan,,,26797830
Strategies for long-acting drug design.,"With advances of drug design and preparation technology, the development of long-acting drugs has become an important research focus in precision medicine and chronic disease management. These drugs are designed to improve the patients' compliance and quality of life by achieving prolonged maintenance of an effective drug concentration in the body with a reduced dosing frequency. Small molecule drugs, monoclonal antibodies and nucleic acid drugs all have their own difficulties in achieving long actions, which can be especially challenging for the latter two because of their structural complexity. This review provides an overview of the strategies for designing long-acting small molecule drugs, monoclonal antibodies, and nucleic acid drugs.",drug design; long-acting drugs; monoclonal antibodies; nucleic acid drugs; small molecule drugs,,Journal Article; Review,2025-Jan-20,10.12122/j.issn.1673-4254.2025.01.24,https://doi.org/10.12122/j.issn.1673-4254.2025.01.24; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11744288,39819729
[Artificial intelligence empowering sports medicine].,"The rapid advancement of artificial intelligence (AI) technologies, particularly deep learning algorithms and hardware devices, has profoundly transformed diagnostic and therapeutic paradigms in sports medicine. This article reviews the applications and recent progress of AI across multiple domains in the field, including the use of deep learning and machine learning models for injury risk prediction and early screening; the application of computer vision techniques in imaging diagnosis; the integration of intelligent algorithms into surgical planning and intraoperative assistance; the dynamic monitoring of rehabilitation processes; and the deployment of large language models to support patient education and consultation. The deep integration of sports medicine and AI requires interdisciplinary collaboration across clinical medicine, sports science, materials science, and computer science. This article highlights the current applications, discusses existing challenges and potential risks, and provides an outlook on future development trends.",,,Journal Article; Review; English Abstract,2026-Jan-06,10.3760/cma.j.cn112137-20250725-01852,https://doi.org/10.3760/cma.j.cn112137-20250725-01852,41483925
[Guidelines for diagnosis and treatment of advanced breast cancer in China (2024 edition)].,"Breast cancer is the most common malignant tumor among women all over the world. In 2022, there were about 357,161 new cases and 74,986 deaths of breast cancer in Chinese female. Of the new cases of breast cancer each year, about 5% to 10% of patients have distant metastasis at the time of diagnosis. Of the early-stage patients, about 20%~30% developed into advanced breast cancer eventually. Although advanced breast cancer is difficult to cure at present, we can alleviate the clinical symptoms of patients, improve their quality of life and further prolong their survival time by applying new therapeutic drugs and optimizing treatment models, to achieve the purpose of long-term survival with tumor. To better guide clinical practice, the Chinese expert group, based on the latest research progress in breast cancer, has analyzed, discussed, and updated the relevant research data on the basis of ""Guidelines for clinical diagnosis and treatment of advanced breast cancer in China (2022 edition)"" to form the ""Guidelines for clinical diagnosis and treatment of advanced breast cancer in China (2024 edition)"" . The updated guideline incorporates the new evidence of high-quality evidence-based medicine, new concepts in molecular pathological detection, new treatment strategies, new progress in precision medicine, and adverse events of new therapeutic drugs. At the same time, the updated guideline emphasizes multidisciplinary collaboration and pays attention to patient-reported outcomes. The ""Guidelines for clinical diagnosis and treatment of advanced breast cancer in China (2024 edition)"" aims to provide clinicians with recommendations for the diagnosis and treatment of advanced breast cancer in China, thereby improving patient outcomes and quality of life.",,,English Abstract; Journal Article,2024-Dec-23,10.3760/cma.j.cn112152-20241009-00435,https://doi.org/10.3760/cma.j.cn112152-20241009-00435,39632259
Research progress in mRNA drug modification and delivery systems.,"Messenger RNA (mRNA) has shown tremendous potential in disease prevention and therapy. The clinical application requires mRNA with enhanced stability and high translation efficiency, ensuring it not to be degraded by nucleases and targeting to specific tissues and cells. mRNA immunogenicity can be reduced by nucleotide modification, and translation efficiency can be enhanced by codon optimization. The 5´ capping structure and 3´ poly A increase mRNA stability, and the addition of 5' and 3' non-translational regions regulate mRNA translation initiation and protein production. Nanoparticle delivery system protects mRNA from degradation by ubiquitous nucleases, enhances mRNA concentration in circulation and assists it cytoplasmic entrance for the purpose of treatment and prevention. Here, we review the recent advances of mRNA technology, discuss the methods and principles to enhance mRNA stability and translation efficiency; summarize the requirements involved in designing mRNA delivery systems with the potential for industrial translation and biomedical application. Furthermore, we provide insights into future directions of mRNA therapeutics to meet the needs for personalized precision medicine.",Chemical modification; Drug delivery system; Messenger RNA; Nanodrug delivery system; Nucleic acid; RNA targeting; Review,,Review; Journal Article,2023-Aug-25,10.3724/zdxbyxb-2023-0101,https://doi.org/10.3724/zdxbyxb-2023-0101; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10495253,37643978
[Annual review of interventional pulmonology 2024].,"As an indispensable diagnostic and therapeutic pillar of respiratory medicine, interventional pulmonology has made transformative progress through technological convergence and precision innovation. Milestones in 2024 include robotic bronchoscopy systems, airway ablation techniques that redefine the management of peripheral lung cancer, and bronchoscopy-regenerative medicine synergy. Together, these advances are driving the field towards personalized intervention paradigms, enhancing both early disease detection and advanced therapeutic delivery in pulmonary medicine.",,,Journal Article; Review; English Abstract,2025-Jun-12,10.3760/cma.j.cn112147-20250218-00089,https://doi.org/10.3760/cma.j.cn112147-20250218-00089,40491150
[Cell-loaded hydrogel microspheres based on droplet microfluidics: a review].,"Droplet microfluidics technology offers refined control over the flows of multiple fluids in micro/nano-scale, enabling fabrication of micro/nano-droplets with precisely adjustable structures and compositions in a high-throughput manner. With the combination of proper hydrogel materials and preparation methods, single or multiple cells can be efficiently encapsulated into hydrogels to produce cell-loaded hydrogel microspheres. The cell-loaded hydrogel microspheres can provide a three-dimensional, relatively independent and controllable microenvironment for cell proliferation and differentiation, which is of great value for three-dimensional cell culture, tissue engineering and regenerative medicine, stem cell research, single cell study and many other biological science fields. In this review, the preparation methods of cell-loaded hydrogel microspheres based on droplet microfluidics and its applications in biomedical field are summarized and future prospects are proposed.",cell-loaded hydrogel microspheres; droplet microfluidics; single-cell analysis; three-dimensional cell culture; tumor vaccine,,Review; English Abstract; Journal Article,2023-Jan-25,10.13345/j.cjb.220341,https://doi.org/10.13345/j.cjb.220341,36738202
