text,label_id,label_name
"[Health literacy and cancer prevention]. This article reviews the literature on health literacy and cancer prevention, screening, treatment and prognosis. A large number of studies have shown that health literacy is positively correlated with public cancer risk awareness, cancer knowledge awareness rate, and cancer screening behavior, and positively correlated with the health service resource utilization ability of cancer patients, treatment compliance, and quality of life, and negatively correlated with th",0,肿瘤学
"[Colorectal cancer screening: situation and prospect]. Colorectal cancer (CRC) is the fourth most common cause of cancer death in China and the incidence has been increasing during the decades. It is reported to take decades for adenoma to transform to carcinoma, which is known as the main CRC pre-cancer lesion. It is important to carry out mass screening in the average risk populations to find the pre-cancer lesion and early cancer, which was the key approach to improve CRC survival. Fecal occult blood tes",0,肿瘤学
"[Role of Fucosylation in Cancer]. Fucosylation is one of the most important glycosylation in mamal, involving biosynthesis of blood H antigen and Lewis antigen, selectin mediated intravasion and homing of leukocyte, host-microbe interactions, modification of signaling. Alterations in the expression of fucosylated oligosaccharides have been observed in several cancer, playing a role in proliferation, invasion, metastasis, immune escape and drug-sensitiity, especially in lung cancer. Targeting the abnormality",0,肿瘤学
"[Research Progress on Lung Cancer Screening]. Lung cancer is the most common malignant tumor in the world. The five-year survival rate is 19.7%, which seriously threatens human health. Lung cancer screening is an effective measure to reduce lung cancer mortality. Existing studies have shown that screening with low-dose computed tomography (LDCT) can reduce lung cancer deaths by 20%. Currently, lung cancer screening is recommended internationally and nationally. Studying the development status of lung cancer",0,肿瘤学
"[Lung and gut microbiota and their interaction with the carcinogenesis and development of lung cancer: a review]. Lung microbiota and gut microbiota are closely related to lung cancer. Studies have shown that the dysbiosis, i.e., the significantly altered composition and structure of gut and lung microbiota, usually occurs in patients with lung cancer. With the introduction of ""Gut-Lung Axis"", an increasing attention has been paid to the close relationship between the lung and gut microbiota in human body. ",0,肿瘤学
"[Epidemiological trend of cervical cancer]. Cervical cancer is the fourth most common malignant tumor in women worldwide, cervical cancer is also the only malignant tumor that is considered to be a known cause in human tumors, however, there is no significant decline in cervical cancer morbidity and mortality. It is estimated that there were about 570, 000 new cases of cervical cancer in the world in 2018, accounting for 3.15% of all cancer cases; and there were about 310, 000 deaths of cervical cancer, acc",0,肿瘤学
"[Accurate imaging diagnosis and evaluation of pancreatic cancer]. Pancreatic cancer is a highly malignant tumor and surgical resection is the only curative treatment option. In order to improve the prognosis of patients with pancreatic cancer, it is very important to diagnose and evaluate pancreatic cancer accurately and early. Imaging examinations play an important role in tumor detection, staging and surgical resectability evaluation, which can provide reliable evidences for diagnosis and treatment of pan",0,肿瘤学
"[Research and Progress on the Association of Porphyromonas gingivalis with Lung Cancer]. Porphyromonas gingivalis is a key pathogenic microorganism that triggers periodontitis. It is closely associated with oral diseases such as chronic periodontitis and recently found to have a significant correlation with the occurrence, progression, and prognosis of cancer. As the leading malignant tumor in terms of both incidence and mortality worldwide, lung cancer has always been a focus and hotspot of research. The c",0,肿瘤学
"[Controversy and boundary in the diagnose and treatment of thyroid cancer]. In recent years, the incidence of thyroid cancer has rapidly increased, whereas the mortality rate has not risen correspondingly. Therefore, scholars at home and abroad have proposed the view of overdiagnosis in thyroid cancer, sparking intense debates about the phenomenon of overdiagnosis and overtreatment. A historical review and discussion of the primary reasons for the increase in thyroid cancer incidence and the improvement in ",0,肿瘤学
"[Questions and reflections in the diagnosis and treatment of younger breast cancer in China]. Compared with the median age of breast cancer onset in western countries at 62-64 years, the median age in China is around 16 years earlier. There are nearly fifty thousand new breast cancer patients younger than 40 years in China every year. The tumor characteristics, diagnosis and treatment methods, and psychosocial needs of these young patients are often different from elder breast cancer patients. Currently, th",0,肿瘤学
